uid,Day,Month,Year,Time,Creek Water Temperature,Species,Salmon Spawn,Lat,Long,County,State,Species,Tree Growth
483458,4,Jan-90,2011,12:00 AM,73,73,106.4,32.7522292,-96.8066934,1201 EAST EIGHTH ST DALLAS TX 75203 ,NY        ,redwood,72
483459,4,Feb-90,2011,12:00 AM,72.5,72.5,104,32.234824,-110.910936,3825 EAST 2ND ST TUCSON AZ 85716 ,NJ        ,redwood,1
483460,5,Mar-90,2011,12:00 AM,74.6,74.6,102.1,33.9522849,-84.0598152,970 MCELVANEY LN LAWRENCEVILLE GA 30044 ,FL        ,redwood,80
483461,5,Apr-90,2011,12:00 AM,71.8,71.8,105.1,38.8180856,-77.1683232,6560 BRADDOCK RD ALEXANDRIA VA 22312 ,NJ        ,redwood,74
483462,  ,May-90,2011,12:00 AM,74.4,74.4,105.3,33.590355,-111.788143,11440 NORTH 136TH ST SCOTTSDALE AZ 85259 ,NJ        ,redwood,78
483463,5,Jun-90,2011,12:00 AM,71.7,71.7,103.1,27.186918,-82.479179,1 PYTHON PATH OSPREY FL 34229 ,NJ        ,oak,74
483464,5,Jul-90,2011,12:00 AM,71.6,71.6,96.8,32.3660519,-86.3232405,921 WEST JEFF DAVIS MONTGOMERY AL 36108 ,NC        ,redwood,70
483465,5,Aug-90,2011,12:00 AM,74.2,74.2,93.5,40.26155,-74.2482457,4000 KOZLOSKI RD FREEHOLD NJ 07728 ,NC        ,redwood,74
483466,5,Sep-90,2011,12:00 AM,73.2,73.2,87.2,47.604526,-122.172162,445 128TH AVE SE BELLEVUE WA 98005 ,MD        ,redwood,74
483467,5,Oct-90,2011,12:00 AM,74.6,74.6,88.5,32.8578872,-79.9642697,1525 AVE B SOUTH NORTH CHARLESTON SC 29405 ,PA        ,oak,73
483468,6,Nov-90,2011,12:00 AM,78.6,78.6,87.7,36.9534249,-122.0487708,255 SWIFT ST SANTA CRUZ CA 95060 ,NJ        ,redwood,87
483469,7,Dec-90,2011,12:00 AM,80.5,80.5,88,40.3311288,-74.1254114,BCC  NEWMAN SPRINGS RD LINCROFT NJ 07738 ,NJ        ,redwood,82
483470,7,Jan-91,2011,12:00 AM,80.3,80.3,89.8,46.9065818,-67.8302953,95 HIGH ST LIMESTONE ME 04750 ,DE        ,maple,86
483471,7,Feb-91,2011,12:00 AM,78.6,78.6,91.2,32.773212,-96.759354,1718 R B CULLUM BLVD DALLAS TX 75210 ,NJ        ,redwood,88
483472,8,Mar-91,2011,12:00 AM,79.1,79.1,94.2,25.764992,-80.236427,2480 SW EIGHTH ST MIAMI FL 33135 ,NJ        ,maple,89
483473,8,Apr-91,2011,12:00 AM,76.4,76.4,95.2,33.8238134,-118.0422979,5172 ORANGE AVE CYPRESS CA 90630 ,PA        ,maple,75
483474,8,May-91,2011,12:00 AM,75.5,75.5,94,29.6466808,-95.3679013,10401 SCOTT ST HOUSTON TX 77051 ,PA        ,oak,75
483475,8,Jun-91,2011,12:00 AM,75.8,75.8,93.2,42.602476,-83.226169,1020 EAST SQUARE LAKE RD BLOOMFIELD HILLS MI 48304 ,NJ        ,redwood,70
483476,8,Jul-91,2011,12:00 AM,78.7,78.7,92.3,30.352409,-81.673781,1149 WEST 13TH ST JACKSONVILLE FL 32209 ,MA        ,redwood,75
483477,8,Aug-91,2011,12:00 AM,80.1,80.1,96.4,25.8136992,-80.1912776,4001 NE 2ND AVE MIAMI FL 33137 ,NY        ,oak,77
483478,8,Sep-91,2011,12:00 AM,79.4,79.4,97.1,40.704976,-73.938767,325 BUSHWICK AVE BROOKLYN NY 11206 ,PA        ,redwood,77
483479,7,Oct-91,2011,12:00 AM,84,84,100.8,47.6646823,-122.1921973,11133 NE 65TH ST KIRKLAND WA 98033 ,PA        ,redwood,82
483480,7,Nov-91,2011,12:00 AM,84.8,84.8,100.9,37.9728359,-87.5686192,610 MAIN ST EVANSVILLE IN 47708 ,NJ        ,redwood,74
483481,7,Dec-91,2011,12:00 AM,86.1,86.1,104,32.7522292,-96.8066934,1201 EAST EIGHTH ST DALLAS TX 75203 ,NJ        ,oak,74
483482,6,Jan-92,2011,12:00 AM,87,87,106.2,25.772082,-80.21372,1150 SW 1 ST MIAMI FL 33130 ,DE        ,oak,68
483483,6,Feb-92,2011,12:00 AM,85.2,85.2,109.4,29.7101027,-95.3757763,3100 SHENANDOAH ST HOUSTON TX 77021 ,DC        ,maple,76
483484,5,Mar-92,2011,12:00 AM,88.2,88.2,109.4,33.8780139,-118.054533,16800 SHOEMAKER AVE CERRITOS CA 90703 ,PA        ,maple,**
483485,5,Apr-92,2011,12:00 AM,87.8,87.8,104.5,33.351324,-111.737266,55 NORTH GREENFIELD RD GILBERT AZ 85234 ,NJ        ,maple,78
483486,4,May-92,2011,12:00 AM,88.1,88.1,103,32.227006,-110.8886066,421 NORTH ARCADIA BLVD TUCSON AZ 85711 ,ND        ,maple,79
483487,4,Jun-92,2011,12:00 AM,89.3,89.3,102.2,32.8843552,-117.2338066,9500 GILMAN DR MC 0536 LA JOLLA CA 92093 ,CT        ,maple,69
483488,3,Jul-92,2011,12:00 AM,84.4,84.4,97.8,41.651743,-70.285169,427 MAIN ST HYANNIS MA 02601 ,PA        ,oak,73
483489,3,Aug-92,2011,12:00 AM,82.5,82.5,93,40.8776621,-73.8910553,75 WEST 205TH ST BRONX NY 10468 ,NJ        ,maple,71
483490,3,Sep-92,2011,12:00 AM,84.5,84.5,96.5,41.981241,-87.707671,5501 NORTH KEDZIE AVE CHICAGO IL 60625 ,MD        ,maple,70
483491,3,Oct-92,2011,12:00 AM,84.5,84.5,96.5,40.9021118,-74.0343816,200 HACKENSACK AVE HACKENSACK NJ 07601 ,NC        ,redwood,69
483492,2,Nov-92,2011,12:00 AM,87.3,87.3,97.8,40.717321,-73.989323,350 GRAND ST NEW YORK NY 10002 ,DE        ,redwood,1
483493,2,Dec-92,2011,12:00 AM,85.7,85.7,97,40.754985,-73.926962,3412 36TH AVE LONG ISLAND CITY NY 11106 ,NY        ,redwood,69
483494,2,Jan-93,2011,12:00 AM,87.1,87.1,97.6,36.159586,-86.78175,700 BROADWAY NASHVILLE TN 37203 ,NJ        ,oak,86
483495,1,Feb-93,2011,12:00 AM,87.4,87.4,96.5,37.793841,-122.199868,3626 35TH AVE OAKLAND CA 94619 ,VA        ,maple,84
483496,1,Mar-93,2011,12:00 AM,85.7,85.7,96.4,33.9353943,-118.3520579,11036 HAWTHORNE BLVD LENNOX CA 90304 ,ME        ,maple,74
483497,1,Apr-93,2011,12:00 AM,85.1,85.1,95.5,40.567929,-74.115695,485 CLAWSON ST STATEN ISLAND NY 10306 ,VA        ,maple,71
483498,2,May-93,2011,12:00 AM,83.6,83.6,92.4,32.98471,-97.2106182,2600 OTTINGER RD WESTLAKE TX 76262 ,NY        ,oak,1
483499,2,Jun-93,2011,12:00 AM,82.7,82.7,88.1,36.809963,-119.742962,2611 EAST MATOIAN FRESNO CA 93740 ,NJ        ,maple,77
483500,3,Jul-93,2011,12:00 AM,86.4,86.4,93.2,37.7309946,-122.4835822,1101 EUCALYPTUS DR SAN FRANCISCO CA 94132 ,NJ        ,maple,1
483501,3,Aug-93,2011,12:00 AM,85.1,85.1,94.7,40.8746091,-73.8950801,2925 GOULDEN AVE BRONX NY 10468 ,NY        ,oak,72
483502,8,Sep-93,2011,12:00 AM,84.8,84.8,97.6,41.901666,-87.635232,1034 NORTH WELLS ST CHICAGO IL 60610 ,NJ        ,maple,73
483503,8,Oct-93,2011,12:00 AM,83.8,83.8,102.9,30.068689,-95.404466,13703 ALDINE WESTFIELD RD HOUSTON TX 77039 ,NY        ,maple,1
483504,8,Nov-93,2011,12:00 AM,90.6,90.6,111.4,40.735017,-73.821339,14911 MELBOURNE AVE FLUSHING NY 11367 ,NY        ,,73
483505,8,Dec-93,2011,12:00 AM,102.6,102.6,114.7,28.1071916,-80.6261259,250 WILDCAT ALLEY MELBOURNE FL 32935 ,U         ,,73
483506,8,Jan-94,2011,12:00 AM,103.3,103.3,114.1,40.7179707,-74.0140348,345 CHAMBERS ST NEW YORK NY 10282 ,NY        ,,1
483507,8,Feb-94,2011,12:00 PM,98.2,98.2,111.7,40.7268188,-74.0469758,123 COLES ST JERSEY CITY NJ 07302 ,NY        ,,69
