x,y,z,plot_1,plot_2,plot_3,notes,example use-case
date,,,timeline,,,"This one is a little weird, but given a list of dates, the only really thing to do is plot them on a timeline","a column of dates, best thing would just to plot them on a timeline"
int,,,histogram,,,"A histogram of values, but binned up",a column of 1000 sensor readings (4.24 etc etc)
bool,,,histogram,,,,
float,,,histogram,,,"A histogram of values, but binned up",
category,,,histogram,,,,
text,,,sentiment,word cloud,stem plot,Either a sentiment analysis or simply a word cloud. Maybe a stem plot as well,
id,,,none,,,I really can’t think of a good visualization of this.,
geo,,,map,,,a plot of the points on a map,
proportion,,,pie,donut,,a pie chart or a donut chart,
contact,,,network,lss,,,
date,int,,line chart,,,,
date,bool,,line chart,,,,
date,float,,line chart,,,,
date,category,,line chart,,,,
date,text,,line chart grouped by sentiment,line chart grouped by noun frequency,,,
date,id,,timeline,,,,
date,geo,,map,,,,
date,proportion,,,,,,
date,contact,,,,,,
int,bool,,,,,,
int,float,,,,,,
int,category,,,,,,
int,text,,,,,,
int,id,,,,,,
int,geo,,,,,,
int,proportion,,,,,,
int,contact,,,,,,
bool,float,,,,,,
bool,category,,,,,,
bool,text,,,,,,
bool,id,,,,,,
bool,geo,,,,,,
bool,proportion,,,,,,
bool,contact,,,,,,
float,category,,,,,,
float,text,,,,,,
float,id,,,,,,
float,geo,,,,,,
float,proportion,,,,,,
float,contact,,,,,,
category,text,,,,,,
category,id,,,,,,
category,geo,,,,,,
category,proportion,,,,,,
category,contact,,,,,,
text,id,,,,,,
text,geo,,,,,,
text,proportion,,,,,,
text,contact,,,,,,
id,geo,,,,,,
id,proportion,,,,,,
id,contact,,,,,,
geo,proportion,,,,,,
geo,contact,,,,,,
proportion,contact,,,,,,
date,int,bool,,,,,
date,int,float,,,,,
date,int,category,,,,,
date,int,text,,,,,
date,int,id,,,,,
date,int,geo,,,,,
date,int,proportion,,,,,
date,int,contact,,,,,
date,bool,float,,,,,
date,bool,category,,,,,
date,bool,text,,,,,
date,bool,id,,,,,
date,bool,geo,,,,,
date,bool,proportion,,,,,
date,bool,contact,,,,,
date,float,category,,,,,
date,float,text,,,,,
date,float,id,,,,,
date,float,geo,,,,,
date,float,proportion,,,,,
date,float,contact,,,,,
date,category,text,,,,,
date,category,id,,,,,
date,category,geo,,,,,
date,category,proportion,,,,,
date,category,contact,,,,,
date,text,id,,,,,
date,text,geo,,,,,
date,text,proportion,,,,,
date,text,contact,,,,,
date,id,geo,,,,,
date,id,proportion,,,,,
date,id,contact,,,,,
date,geo,proportion,,,,,
date,geo,contact,,,,,
date,proportion,contact,,,,,
int,bool,float,,,,,
int,bool,category,,,,,
int,bool,text,,,,,
int,bool,id,,,,,
int,bool,geo,,,,,
int,bool,proportion,,,,,
int,bool,contact,,,,,
int,float,category,,,,,
int,float,text,,,,,
int,float,id,,,,,
int,float,geo,,,,,
int,float,proportion,,,,,
int,float,contact,,,,,
int,category,text,,,,,
int,category,id,,,,,
int,category,geo,,,,,
int,category,proportion,,,,,
int,category,contact,,,,,
int,text,id,,,,,
int,text,geo,,,,,
int,text,proportion,,,,,
int,text,contact,,,,,
int,id,geo,,,,,
int,id,proportion,,,,,
int,id,contact,,,,,
int,geo,proportion,,,,,
int,geo,contact,,,,,
int,proportion,contact,,,,,
bool,float,category,,,,,
bool,float,text,,,,,
bool,float,id,,,,,
bool,float,geo,,,,,
bool,float,proportion,,,,,
bool,float,contact,,,,,
bool,category,text,,,,,
bool,category,id,,,,,
bool,category,geo,,,,,
bool,category,proportion,,,,,
bool,category,contact,,,,,
bool,text,id,,,,,
bool,text,geo,,,,,
bool,text,proportion,,,,,
bool,text,contact,,,,,
bool,id,geo,,,,,
bool,id,proportion,,,,,
bool,id,contact,,,,,
bool,geo,proportion,,,,,
bool,geo,contact,,,,,
bool,proportion,contact,,,,,
float,category,text,,,,,
float,category,id,,,,,
float,category,geo,,,,,
float,category,proportion,,,,,
float,category,contact,,,,,
float,text,id,,,,,
float,text,geo,,,,,
float,text,proportion,,,,,
float,text,contact,,,,,
float,id,geo,,,,,
float,id,proportion,,,,,
float,id,contact,,,,,
float,geo,proportion,,,,,
float,geo,contact,,,,,
float,proportion,contact,,,,,
category,text,id,,,,,
category,text,geo,,,,,
category,text,proportion,,,,,
category,text,contact,,,,,
category,id,geo,,,,,
category,id,proportion,,,,,
category,id,contact,,,,,
category,geo,proportion,,,,,
category,geo,contact,,,,,
category,proportion,contact,,,,,
text,id,geo,,,,,
text,id,proportion,,,,,
text,id,contact,,,,,
text,geo,proportion,,,,,
text,geo,contact,,,,,
text,proportion,contact,,,,,
id,geo,proportion,,,,,
id,geo,contact,,,,,
id,proportion,contact,,,,,
geo,proportion,contact,,,,,
